Temperatura inicial: 14.10 *C
Umidade inicial: 98.00 %
Tempo (s), Temperatura (*C), Umidade (%), LED Temp, LED Hum, Mensagem
1 s, 14.10 *C, 98.00 %, OFF, OFF
519 s, 17.80 *C, 98.00 %, OFF, OFF
520 s, 17.80 *C, 98.00 %, OFF, OFF
521 s, 17.80 *C, 98.00 %, OFF, OFF
522 s, 17.80 *C, 98.00 %, OFF, OFF
523 s, 17.80 *C, 98.00 %, OFF, OFF
524 s, 17.80 *C, 98.00 %, OFF, OFF
525 s, 17.80 *C, 98.00 %, OFF, OFF
526 s, 17.80 *C, 98.00 %, OFF, OFF
527 s, 17.80 *C, 98.00 %, OFF, OFF
528 s, 17.80 *C, 98.00 %, OFF, OFF
529 s, 17.80 *C, 98.00 %, OFF, OFF
530 s, 17.80 *C, 98.00 %, OFF, OFF
531 s, 17.80 *C, 98.00 %, OFF, OFF
532 s, 17.80 *C, 98.00 %, OFF, OFF
533 s, 17.80 *C, 98.00 %, OFF, OFF
534 s, 17.80 *C, 98.00 %, OFF, OFF
535 s, 17.80 *C, 98.00 %, OFF, OFF
536 s, 17.80 *C, 98.00 %, OFF, OFF
537 s, 17.80 *C, 98.00 %, OFF, OFF
538 s, 17.80 *C, 98.00 %, OFF, OFF
539 s, 17.80 *C, 98.00 %, OFF, OFF
540 s, 17.80 *C, 98.00 %, OFF, OFF
541 s, 17.80 *C, 98.00 %, OFF, OFF
542 s, 17.80 *C, 98.00 %, OFF, OFF
543 s, 17.80 *C, 98.00 %, OFF, OFF
544 s, 17.80 *C, 98.00 %, OFF, OFF
545 s, 17.80 *C, 98.00 %, OFF, OFF
546 s, 17.80 *C, 98.00 %, OFF, OFF
547 s, 17.80 *C, 98.00 %, OFF, OFF
548 s, 17.80 *C, 98.00 %, OFF, OFF
549 s, 17.80 *C, 98.00 %, OFF, OFF
550 s, 17.80 *C, 98.00 %, OFF, OFF
551 s, 17.80 *C, 98.00 %, OFF, OFF
553 s, 17.80 *C, 98.00 %, OFF, OFF
554 s, 17.80 *C, 98.00 %, OFF, OFF
555 s, 17.80 *C, 98.00 %, OFF, OFF
556 s, 17.80 *C, 98.00 %, OFF, OFF
557 s, 17.80 *C, 98.00 %, OFF, OFF
558 s, 17.80 *C, 98.00 %, OFF, OFF
559 s, 17.80 *C, 98.00 %, OFF, OFF
560 s, 17.80 *C, 98.00 %, OFF, OFF
561 s, 17.80 *C, 98.00 %, OFF, OFF
562 s, 17.80 *C, 98.00 %, OFF, OFF
563 s, 17.80 *C, 98.00 %, OFF, OFF
564 s, 17.80 *C, 98.00 %, OFF, OFF
565 s, 17.80 *C, 98.00 %, OFF, OFF
566 s, 17.80 *C, 98.00 %, OFF, OFF
567 s, 17.80 *C, 98.00 %, OFF, OFF
568 s, 17.80 *C, 98.00 %, OFF, OFF
569 s, 17.80 *C, 98.00 %, OFF, OFF
570 s, 17.80 *C, 98.00 %, OFF, OFF
571 s, 17.90 *C, 98.00 %, OFF, OFF
572 s, 17.90 *C, 98.00 %, OFF, OFF
573 s, 17.80 *C, 98.00 %, OFF, OFF
574 s, 17.80 *C, 98.00 %, OFF, OFF
575 s, 17.90 *C, 98.00 %, OFF, OFF
576 s, 17.90 *C, 98.00 %, OFF, OFF
577 s, 17.90 *C, 98.00 %, OFF, OFF
578 s, 17.90 *C, 98.00 %, OFF, OFF
579 s, 17.90 *C, 98.00 %, OFF, OFF
580 s, 17.90 *C, 98.00 %, OFF, OFF
581 s, 17.90 *C, 98.00 %, OFF, OFF
582 s, 17.90 *C, 98.00 %, OFF, OFF
583 s, 17.90 *C, 98.00 %, OFF, OFF
584 s, 17.90 *C, 98.00 %, OFF, OFF
585 s, 18.00 *C, 98.00 %, OFF, OFF
586 s, 18.00 *C, 98.00 %, OFF, OFF
587 s, 18.20 *C, 98.00 %, OFF, OFF
588 s, 18.20 *C, 98.00 %, OFF, OFF
589 s, 18.20 *C, 98.00 %, OFF, OFF
590 s, 18.20 *C, 98.00 %, OFF, OFF
591 s, 18.20 *C, 98.00 %, OFF, OFF
592 s, 18.20 *C, 98.00 %, OFF, OFF
593 s, 18.20 *C, 98.00 %, OFF, OFF
594 s, 18.20 *C, 98.00 %, OFF, OFF
595 s, 18.20 *C, 98.00 %, OFF, OFF
596 s, 18.20 *C, 98.00 %, OFF, OFF
597 s, 18.20 *C, 98.00 %, OFF, OFF
598 s, 18.20 *C, 98.00 %, OFF, OFF
599 s, 18.20 *C, 98.00 %, OFF, OFF
600 s, 18.20 *C, 98.00 %, OFF, OFF
601 s, 18.20 *C, 98.00 %, OFF, OFF
602 s, 18.20 *C, 98.00 %, OFF, OFF
603 s, 18.20 *C, 98.00 %, OFF, OFF
604 s, 18.20 *C, 98.00 %, OFF, OFF
605 s, 18.20 *C, 98.00 %, OFF, OFF
606 s, 18.20 *C, 98.00 %, OFF, OFF
607 s, 18.20 *C, 98.00 %, OFF, OFF
608 s, 18.20 *C, 98.00 %, OFF, OFF
609 s, 18.20 *C, 98.00 %, OFF, OFF
610 s, 18.20 *C, 98.00 %, OFF, OFF
611 s, 18.20 *C, 98.00 %, OFF, OFF
612 s, 18.20 *C, 98.00 %, OFF, OFF
613 s, 18.20 *C, 98.00 %, OFF, OFF
614 s, 18.20 *C, 98.00 %, OFF, OFF
615 s, 18.20 *C, 98.00 %, OFF, OFF
616 s, 18.20 *C, 98.00 %, OFF, OFF
617 s, 18.20 *C, 98.00 %, OFF, OFF
618 s, 18.20 *C, 98.00 %, OFF, OFF
619 s, 18.20 *C, 98.00 %, OFF, OFF
620 s, 18.20 *C, 98.00 %, OFF, OFF
621 s, 18.20 *C, 98.00 %, OFF, OFF
622 s, 18.20 *C, 98.00 %, OFF, OFF
623 s, 18.20 *C, 98.00 %, OFF, OFF
624 s, 18.20 *C, 98.00 %, OFF, OFF
625 s, 18.20 *C, 98.00 %, OFF, OFF
626 s, 18.20 *C, 98.00 %, OFF, OFF
627 s, 18.20 *C, 98.00 %, OFF, OFF
628 s, 18.20 *C, 98.00 %, OFF, OFF
629 s, 18.20 *C, 98.00 %, OFF, OFF
630 s, 18.20 *C, 98.00 %, OFF, OFF
632 s, 18.20 *C, 98.00 %, OFF, OFF
633 s, 18.20 *C, 98.00 %, OFF, OFF
634 s, 18.20 *C, 98.00 %, OFF, OFF
635 s, 18.20 *C, 98.00 %, OFF, OFF
636 s, 18.20 *C, 98.00 %, OFF, OFF
637 s, 18.20 *C, 98.00 %, OFF, OFF
638 s, 18.20 *C, 98.00 %, OFF, OFF
639 s, 18.20 *C, 98.00 %, OFF, OFF
640 s, 18.20 *C, 98.00 %, OFF, OFF
641 s, 18.20 *C, 98.00 %, OFF, OFF
642 s, 18.20 *C, 98.00 %, OFF, OFF
643 s, 18.20 *C, 98.00 %, OFF, OFF
644 s, 18.20 *C, 98.00 %, OFF, OFF
645 s, 18.20 *C, 98.00 %, OFF, OFF
646 s, 18.20 *C, 98.00 %, OFF, OFF
647 s, 18.20 *C, 98.00 %, OFF, OFF
648 s, 18.20 *C, 98.00 %, OFF, OFF
649 s, 18.20 *C, 98.00 %, OFF, OFF
650 s, 18.20 *C, 98.00 %, OFF, OFF
651 s, 18.20 *C, 98.00 %, OFF, OFF
652 s, 18.20 *C, 98.00 %, OFF, OFF
653 s, 18.20 *C, 98.00 %, OFF, OFF
654 s, 18.20 *C, 97.00 %, OFF, OFF
655 s, 18.20 *C, 97.00 %, OFF, OFF
656 s, 18.20 *C, 97.00 %, OFF, OFF
657 s, 18.20 *C, 97.00 %, OFF, OFF
658 s, 18.20 *C, 97.00 %, OFF, OFF
659 s, 18.20 *C, 97.00 %, OFF, OFF
660 s, 18.20 *C, 97.00 %, OFF, OFF
661 s, 18.20 *C, 97.00 %, OFF, OFF
662 s, 18.20 *C, 97.00 %, OFF, OFF
663 s, 18.20 *C, 97.00 %, OFF, OFF
664 s, 18.20 *C, 97.00 %, OFF, OFF
665 s, 18.20 *C, 97.00 %, OFF, OFF
666 s, 18.20 *C, 97.00 %, OFF, OFF
667 s, 18.20 *C, 97.00 %, OFF, OFF
668 s, 18.20 *C, 97.00 %, OFF, OFF
669 s, 18.20 *C, 97.00 %, OFF, OFF
670 s, 18.20 *C, 97.00 %, OFF, OFF
671 s, 18.20 *C, 97.00 %, OFF, OFF
672 s, 18.30 *C, 97.00 %, OFF, OFF
673 s, 18.30 *C, 97.00 %, OFF, OFF
674 s, 18.30 *C, 97.00 %, OFF, OFF
675 s, 18.30 *C, 97.00 %, OFF, OFF
676 s, 18.30 *C, 97.00 %, OFF, OFF
677 s, 18.30 *C, 97.00 %, OFF, OFF
678 s, 18.30 *C, 97.00 %, OFF, OFF
679 s, 18.30 *C, 97.00 %, OFF, OFF
680 s, 18.30 *C, 97.00 %, OFF, OFF
681 s, 18.30 *C, 97.00 %, OFF, OFF
682 s, 18.40 *C, 97.00 %, OFF, OFF
683 s, 18.40 *C, 97.00 %, OFF, OFF
684 s, 18.40 *C, 96.00 %, OFF, OFF
685 s, 18.40 *C, 96.00 %, OFF, OFF
686 s, 18.60 *C, 96.00 %, OFF, OFF
687 s, 18.60 *C, 96.00 %, OFF, OFF
688 s, 18.60 *C, 96.00 %, OFF, OFF
689 s, 18.60 *C, 96.00 %, OFF, OFF
690 s, 18.60 *C, 96.00 %, OFF, OFF
691 s, 18.60 *C, 96.00 %, OFF, OFF
692 s, 18.60 *C, 96.00 %, OFF, OFF
693 s, 18.60 *C, 96.00 %, OFF, OFF
694 s, 18.60 *C, 96.00 %, OFF, OFF
695 s, 18.60 *C, 96.00 %, OFF, OFF
696 s, 18.60 *C, 95.00 %, OFF, OFF
697 s, 18.60 *C, 95.00 %, OFF, OFF
698 s, 18.60 *C, 95.00 %, OFF, OFF
699 s, 18.60 *C, 95.00 %, OFF, OFF
700 s, 18.60 *C, 95.00 %, OFF, OFF
701 s, 18.60 *C, 95.00 %, OFF, OFF
702 s, 18.60 *C, 95.00 %, OFF, OFF
703 s, 18.60 *C, 95.00 %, OFF, OFF
704 s, 18.60 *C, 95.00 %, OFF, OFF
705 s, 18.60 *C, 95.00 %, OFF, OFF
706 s, 18.60 *C, 95.00 %, OFF, OFF
707 s, 18.60 *C, 95.00 %, OFF, OFF
708 s, 18.60 *C, 95.00 %, OFF, OFF
709 s, 18.60 *C, 95.00 %, OFF, OFF
711 s, 18.60 *C, 95.00 %, OFF, OFF
712 s, 18.60 *C, 95.00 %, OFF, OFF
713 s, 18.60 *C, 95.00 %, OFF, OFF
714 s, 18.60 *C, 95.00 %, OFF, OFF
715 s, 18.60 *C, 95.00 %, OFF, OFF
716 s, 18.60 *C, 95.00 %, OFF, OFF
717 s, 18.60 *C, 95.00 %, OFF, OFF
718 s, 18.60 *C, 95.00 %, OFF, OFF
719 s, 18.60 *C, 95.00 %, OFF, OFF
720 s, 18.60 *C, 95.00 %, OFF, OFF
721 s, 18.60 *C, 95.00 %, OFF, OFF
722 s, 18.60 *C, 95.00 %, OFF, OFF
723 s, 18.60 *C, 94.00 %, OFF, OFF
724 s, 18.60 *C, 94.00 %, OFF, OFF
725 s, 18.60 *C, 94.00 %, OFF, OFF
726 s, 18.60 *C, 94.00 %, OFF, OFF
727 s, 18.60 *C, 94.00 %, OFF, OFF
728 s, 18.60 *C, 94.00 %, OFF, OFF
729 s, 18.60 *C, 94.00 %, OFF, OFF
730 s, 18.60 *C, 94.00 %, OFF, OFF
731 s, 18.60 *C, 94.00 %, OFF, OFF
732 s, 18.60 *C, 94.00 %, OFF, OFF
733 s, 18.60 *C, 94.00 %, OFF, OFF
734 s, 18.60 *C, 94.00 %, OFF, OFF
735 s, 18.60 *C, 94.00 %, OFF, OFF
736 s, 18.60 *C, 94.00 %, OFF, OFF
737 s, 18.60 *C, 94.00 %, OFF, OFF
738 s, 18.60 *C, 94.00 %, OFF, OFF
739 s, 18.60 *C, 94.00 %, OFF, OFF
740 s, 18.60 *C, 94.00 %, OFF, OFF
741 s, 18.60 *C, 94.00 %, OFF, OFF
742 s, 18.60 *C, 94.00 %, OFF, OFF
743 s, 18.60 *C, 94.00 %, OFF, OFF
744 s, 18.60 *C, 94.00 %, OFF, OFF
745 s, 18.60 *C, 94.00 %, OFF, OFF
746 s, 18.60 *C, 94.00 %, OFF, OFF
747 s, 18.70 *C, 94.00 %, OFF, OFF
748 s, 18.70 *C, 94.00 %, OFF, OFF
749 s, 18.60 *C, 94.00 %, OFF, OFF
750 s, 18.60 *C, 94.00 %, OFF, OFF
751 s, 18.70 *C, 94.00 %, OFF, OFF
752 s, 18.70 *C, 94.00 %, OFF, OFF
753 s, 18.70 *C, 94.00 %, OFF, OFF
754 s, 18.70 *C, 94.00 %, OFF, OFF
755 s, 18.60 *C, 94.00 %, OFF, OFF
756 s, 18.60 *C, 94.00 %, OFF, OFF
757 s, 18.70 *C, 94.00 %, OFF, OFF
758 s, 18.70 *C, 94.00 %, OFF, OFF
759 s, 18.70 *C, 94.00 %, OFF, OFF
760 s, 18.70 *C, 94.00 %, OFF, OFF
761 s, 18.70 *C, 93.00 %, OFF, OFF
762 s, 18.70 *C, 93.00 %, OFF, OFF
763 s, 18.70 *C, 93.00 %, OFF, OFF
764 s, 18.70 *C, 93.00 %, OFF, OFF
765 s, 18.70 *C, 93.00 %, OFF, OFF
766 s, 18.70 *C, 93.00 %, OFF, OFF
767 s, 18.70 *C, 93.00 %, OFF, OFF
768 s, 18.70 *C, 93.00 %, OFF, OFF
769 s, 18.90 *C, 93.00 %, OFF, OFF
770 s, 18.90 *C, 93.00 %, OFF, OFF
771 s, 19.00 *C, 93.00 %, OFF, OFF
772 s, 19.00 *C, 93.00 %, OFF, OFF
773 s, 19.00 *C, 93.00 %, OFF, OFF
774 s, 19.00 *C, 93.00 %, OFF, OFF
775 s, 19.00 *C, 93.00 %, OFF, OFF
776 s, 19.00 *C, 93.00 %, OFF, OFF
777 s, 19.00 *C, 93.00 %, OFF, OFF
778 s, 19.00 *C, 93.00 %, OFF, OFF
779 s, 19.00 *C, 93.00 %, OFF, OFF
780 s, 19.00 *C, 93.00 %, OFF, OFF
781 s, 19.00 *C, 93.00 %, OFF, OFF
782 s, 19.00 *C, 93.00 %, OFF, OFF
783 s, 19.00 *C, 93.00 %, OFF, OFF
784 s, 19.00 *C, 93.00 %, OFF, OFF
785 s, 19.00 *C, 92.00 %, OFF, OFF
786 s, 19.00 *C, 92.00 %, OFF, OFF
787 s, 19.00 *C, 92.00 %, OFF, OFF
788 s, 19.00 *C, 92.00 %, OFF, OFF
790 s, 19.00 *C, 92.00 %, OFF, OFF
791 s, 19.00 *C, 92.00 %, OFF, OFF
792 s, 19.00 *C, 92.00 %, OFF, OFF
793 s, 19.00 *C, 92.00 %, OFF, OFF
794 s, 19.00 *C, 92.00 %, OFF, OFF
795 s, 19.00 *C, 92.00 %, OFF, OFF
796 s, 19.00 *C, 91.00 %, OFF, OFF
797 s, 19.00 *C, 91.00 %, OFF, OFF
798 s, 19.00 *C, 91.00 %, OFF, OFF
799 s, 19.00 *C, 91.00 %, OFF, OFF
800 s, 19.00 *C, 91.00 %, OFF, OFF
801 s, 19.00 *C, 91.00 %, OFF, OFF
802 s, 19.00 *C, 91.00 %, OFF, OFF
803 s, 19.00 *C, 91.00 %, OFF, OFF
804 s, 19.00 *C, 91.00 %, OFF, OFF
805 s, 19.00 *C, 91.00 %, OFF, OFF
806 s, 19.00 *C, 91.00 %, OFF, OFF
807 s, 19.00 *C, 91.00 %, OFF, OFF
808 s, 19.00 *C, 91.00 %, OFF, OFF
809 s, 19.00 *C, 91.00 %, OFF, OFF
810 s, 19.00 *C, 91.00 %, OFF, OFF
811 s, 19.00 *C, 91.00 %, OFF, OFF
812 s, 19.00 *C, 91.00 %, OFF, OFF
813 s, 19.00 *C, 91.00 %, OFF, OFF
814 s, 19.00 *C, 91.00 %, OFF, OFF
815 s, 19.00 *C, 91.00 %, OFF, OFF
816 s, 19.00 *C, 91.00 %, OFF, OFF
817 s, 19.00 *C, 91.00 %, OFF, OFF
818 s, 19.00 *C, 91.00 %, OFF, OFF
819 s, 19.00 *C, 91.00 %, OFF, OFF
820 s, 19.00 *C, 90.00 %, OFF, OFF
821 s, 19.00 *C, 90.00 %, OFF, OFF
822 s, 19.00 *C, 90.00 %, OFF, OFF
823 s, 19.00 *C, 90.00 %, OFF, OFF
824 s, 19.00 *C, 90.00 %, OFF, OFF
825 s, 19.00 *C, 90.00 %, OFF, OFF
826 s, 19.00 *C, 90.00 %, OFF, OFF
827 s, 19.00 *C, 90.00 %, OFF, OFF
828 s, 19.00 *C, 90.00 %, OFF, OFF
829 s, 19.00 *C, 90.00 %, OFF, OFF
830 s, 19.00 *C, 90.00 %, OFF, OFF
831 s, 19.00 *C, 90.00 %, OFF, OFF
832 s, 19.00 *C, 90.00 %, OFF, OFF
833 s, 19.00 *C, 90.00 %, OFF, OFF
834 s, 19.00 *C, 90.00 %, OFF, OFF
835 s, 19.00 *C, 90.00 %, OFF, OFF
836 s, 19.20 *C, 90.00 %, ON, OFF | LED de temperatura acendeu
837 s, 19.20 *C, 90.00 %, ON, OFF
838 s, 19.40 *C, 90.00 %, ON, OFF
839 s, 19.40 *C, 90.00 %, ON, OFF
840 s, 19.40 *C, 90.00 %, ON, OFF
841 s, 19.40 *C, 90.00 %, ON, OFF
842 s, 19.40 *C, 90.00 %, ON, OFF
843 s, 19.40 *C, 90.00 %, ON, OFF
844 s, 19.40 *C, 90.00 %, ON, OFF
845 s, 19.40 *C, 90.00 %, ON, OFF
846 s, 19.40 *C, 90.00 %, ON, OFF
847 s, 19.40 *C, 90.00 %, ON, OFF
848 s, 19.40 *C, 89.00 %, ON, OFF
849 s, 19.40 *C, 89.00 %, ON, OFF
850 s, 19.40 *C, 89.00 %, ON, OFF
851 s, 19.40 *C, 89.00 %, ON, OFF
852 s, 19.40 *C, 89.00 %, ON, OFF
853 s, 19.40 *C, 89.00 %, ON, OFF
854 s, 19.40 *C, 89.00 %, ON, OFF
855 s, 19.40 *C, 89.00 %, ON, OFF
856 s, 19.40 *C, 89.00 %, ON, OFF
857 s, 19.40 *C, 89.00 %, ON, OFF
858 s, 19.40 *C, 89.00 %, ON, OFF
859 s, 19.40 *C, 89.00 %, ON, OFF
860 s, 19.40 *C, 89.00 %, ON, OFF
861 s, 19.40 *C, 89.00 %, ON, OFF
862 s, 19.40 *C, 89.00 %, ON, OFF
863 s, 19.40 *C, 89.00 %, ON, OFF
864 s, 19.40 *C, 88.00 %, ON, OFF
865 s, 19.40 *C, 88.00 %, ON, OFF
866 s, 19.40 *C, 88.00 %, ON, OFF
867 s, 19.40 *C, 88.00 %, ON, OFF
869 s, 19.40 *C, 88.00 %, ON, OFF
870 s, 19.40 *C, 88.00 %, ON, OFF
871 s, 19.40 *C, 88.00 %, ON, OFF
872 s, 19.40 *C, 88.00 %, ON, OFF
873 s, 19.40 *C, 87.00 %, ON, OFF
874 s, 19.40 *C, 87.00 %, ON, OFF
875 s, 19.40 *C, 87.00 %, ON, OFF
876 s, 19.40 *C, 87.00 %, ON, OFF
877 s, 19.40 *C, 87.00 %, ON, OFF
878 s, 19.40 *C, 87.00 %, ON, OFF
879 s, 19.40 *C, 87.00 %, ON, OFF
880 s, 19.40 *C, 87.00 %, ON, OFF
881 s, 19.40 *C, 87.00 %, ON, OFF
882 s, 19.40 *C, 87.00 %, ON, OFF
883 s, 19.40 *C, 87.00 %, ON, OFF
884 s, 19.40 *C, 87.00 %, ON, OFF
885 s, 19.40 *C, 87.00 %, ON, OFF
886 s, 19.40 *C, 87.00 %, ON, OFF
887 s, 19.40 *C, 87.00 %, ON, OFF
888 s, 19.40 *C, 87.00 %, ON, OFF
889 s, 19.40 *C, 87.00 %, ON, OFF
890 s, 19.40 *C, 87.00 %, ON, OFF
891 s, 19.40 *C, 86.00 %, ON, OFF
892 s, 19.40 *C, 86.00 %, ON, OFF
893 s, 19.50 *C, 86.00 %, ON, OFF
894 s, 19.50 *C, 86.00 %, ON, OFF
895 s, 19.70 *C, 86.00 %, ON, OFF
896 s, 19.70 *C, 86.00 %, ON, OFF
897 s, 19.80 *C, 86.00 %, ON, OFF
898 s, 19.80 *C, 86.00 %, ON, OFF
899 s, 19.80 *C, 86.00 %, ON, OFF
900 s, 19.80 *C, 86.00 %, ON, OFF
901 s, 19.80 *C, 86.00 %, ON, OFF
902 s, 19.80 *C, 86.00 %, ON, OFF
903 s, 19.80 *C, 86.00 %, ON, OFF
904 s, 19.80 *C, 86.00 %, ON, OFF
905 s, 19.80 *C, 86.00 %, ON, OFF
906 s, 19.80 *C, 86.00 %, ON, OFF
907 s, 19.80 *C, 86.00 %, ON, OFF
908 s, 19.80 *C, 86.00 %, ON, OFF
909 s, 19.80 *C, 86.00 %, ON, OFF
910 s, 19.80 *C, 86.00 %, ON, OFF
911 s, 19.80 *C, 86.00 %, ON, OFF
912 s, 19.80 *C, 86.00 %, ON, OFF
913 s, 19.80 *C, 86.00 %, ON, OFF
914 s, 19.80 *C, 86.00 %, ON, OFF
915 s, 19.80 *C, 86.00 %, ON, OFF
916 s, 19.80 *C, 86.00 %, ON, OFF
917 s, 19.80 *C, 86.00 %, ON, OFF
918 s, 19.80 *C, 86.00 %, ON, OFF
919 s, 19.80 *C, 85.00 %, ON, OFF
920 s, 19.80 *C, 85.00 %, ON, OFF
921 s, 19.80 *C, 85.00 %, ON, OFF
922 s, 19.80 *C, 85.00 %, ON, OFF
923 s, 19.80 *C, 85.00 %, ON, OFF
924 s, 19.80 *C, 85.00 %, ON, OFF
925 s, 19.80 *C, 85.00 %, ON, OFF
926 s, 19.80 *C, 85.00 %, ON, OFF
927 s, 19.80 *C, 85.00 %, ON, OFF
928 s, 19.80 *C, 85.00 %, ON, OFF
929 s, 19.80 *C, 85.00 %, ON, OFF
930 s, 19.80 *C, 85.00 %, ON, OFF
931 s, 19.80 *C, 85.00 %, ON, OFF
932 s, 19.80 *C, 85.00 %, ON, OFF
933 s, 19.80 *C, 84.00 %, ON, OFF
934 s, 19.80 *C, 84.00 %, ON, OFF
935 s, 19.80 *C, 84.00 %, ON, OFF
936 s, 19.80 *C, 84.00 %, ON, OFF
937 s, 19.80 *C, 84.00 %, ON, OFF
938 s, 19.80 *C, 84.00 %, ON, OFF
939 s, 19.80 *C, 84.00 %, ON, OFF
940 s, 19.80 *C, 84.00 %, ON, OFF
941 s, 19.80 *C, 84.00 %, ON, OFF
942 s, 19.80 *C, 84.00 %, ON, OFF
943 s, 19.80 *C, 84.00 %, ON, OFF
944 s, 19.80 *C, 84.00 %, ON, OFF
945 s, 19.80 *C, 83.00 %, ON, OFF
946 s, 19.80 *C, 83.00 %, ON, OFF
948 s, 19.80 *C, 83.00 %, ON, OFF
949 s, 19.80 *C, 83.00 %, ON, OFF
950 s, 19.80 *C, 83.00 %, ON, OFF
951 s, 19.80 *C, 83.00 %, ON, OFF
952 s, 19.80 *C, 83.00 %, ON, OFF
953 s, 19.80 *C, 83.00 %, ON, OFF
954 s, 19.80 *C, 83.00 %, ON, OFF
955 s, 19.80 *C, 83.00 %, ON, OFF
956 s, 19.80 *C, 83.00 %, ON, OFF
957 s, 19.80 *C, 83.00 %, ON, OFF
958 s, 19.80 *C, 83.00 %, ON, OFF
959 s, 19.80 *C, 83.00 %, ON, OFF
960 s, 19.80 *C, 82.00 %, ON, OFF
961 s, 19.80 *C, 82.00 %, ON, OFF
962 s, 19.80 *C, 82.00 %, ON, OFF
963 s, 19.80 *C, 82.00 %, ON, OFF
964 s, 19.90 *C, 82.00 %, ON, OFF
965 s, 19.90 *C, 82.00 %, ON, OFF
966 s, 20.10 *C, 82.00 %, ON, OFF
967 s, 20.10 *C, 82.00 %, ON, OFF
968 s, 20.10 *C, 82.00 %, ON, OFF
969 s, 20.10 *C, 82.00 %, ON, OFF
970 s, 20.10 *C, 82.00 %, ON, OFF
971 s, 20.10 *C, 82.00 %, ON, OFF
972 s, 20.20 *C, 82.00 %, ON, OFF
973 s, 20.20 *C, 82.00 %, ON, OFF
974 s, 20.20 *C, 82.00 %, ON, OFF
975 s, 20.20 *C, 82.00 %, ON, OFF
976 s, 20.20 *C, 82.00 %, ON, OFF
977 s, 20.20 *C, 82.00 %, ON, OFF
978 s, 20.20 *C, 83.00 %, ON, OFF
979 s, 20.20 *C, 83.00 %, ON, OFF
980 s, 20.20 *C, 85.00 %, ON, OFF
981 s, 20.20 *C, 85.00 %, ON, OFF
982 s, 20.20 *C, 86.00 %, ON, OFF
983 s, 20.20 *C, 86.00 %, ON, OFF
984 s, 20.60 *C, 86.00 %, ON, OFF
985 s, 20.60 *C, 86.00 %, ON, OFF
986 s, 20.60 *C, 87.00 %, ON, OFF
987 s, 20.60 *C, 87.00 %, ON, OFF
988 s, 20.60 *C, 87.00 %, ON, OFF
989 s, 20.60 *C, 87.00 %, ON, OFF
990 s, 21.00 *C, 86.00 %, ON, OFF
991 s, 21.00 *C, 86.00 %, ON, OFF
992 s, 21.00 *C, 86.00 %, ON, OFF
993 s, 21.00 *C, 86.00 %, ON, OFF
994 s, 21.40 *C, 86.00 %, ON, OFF
995 s, 21.40 *C, 86.00 %, ON, OFF
996 s, 21.40 *C, 86.00 %, ON, OFF
997 s, 21.40 *C, 86.00 %, ON, OFF
998 s, 21.80 *C, 87.00 %, ON, OFF
999 s, 21.80 *C, 87.00 %, ON, OFF
1000 s, 22.20 *C, 88.00 %, ON, OFF
1001 s, 22.20 *C, 88.00 %, ON, OFF
1002 s, 22.20 *C, 88.00 %, ON, OFF
1003 s, 22.20 *C, 88.00 %, ON, OFF
1004 s, 22.60 *C, 88.00 %, ON, OFF
1005 s, 22.60 *C, 88.00 %, ON, OFF
1006 s, 23.00 *C, 88.00 %, ON, OFF
1007 s, 23.00 *C, 88.00 %, ON, OFF
1008 s, 23.40 *C, 88.00 %, ON, OFF
1009 s, 23.40 *C, 88.00 %, ON, OFF
1010 s, 23.80 *C, 87.00 %, ON, OFF
1011 s, 23.80 *C, 87.00 %, ON, OFF
1012 s, 24.10 *C, 86.00 %, ON, OFF
1013 s, 24.10 *C, 86.00 %, ON, OFF
1014 s, 24.40 *C, 85.00 %, ON, OFF
1015 s, 24.40 *C, 85.00 %, ON, OFF
1016 s, 24.50 *C, 84.00 %, ON, OFF
1017 s, 24.50 *C, 84.00 %, ON, OFF
1018 s, 24.80 *C, 81.00 %, ON, OFF
1019 s, 24.80 *C, 81.00 %, ON, OFF
1020 s, 25.30 *C, 81.00 %, ON, OFF
1021 s, 25.30 *C, 81.00 %, ON, OFF
1022 s, 25.80 *C, 79.00 %, ON, OFF
1023 s, 25.80 *C, 79.00 %, ON, OFF
1024 s, 26.20 *C, 77.00 %, ON, OFF
1025 s, 26.20 *C, 77.00 %, ON, OFF
1027 s, 26.20 *C, 76.00 %, ON, OFF
1028 s, 26.20 *C, 76.00 %, ON, OFF
1029 s, 26.70 *C, 73.00 %, ON, OFF
1030 s, 26.70 *C, 73.00 %, ON, OFF
1031 s, 27.10 *C, 73.00 %, ON, OFF
1032 s, 27.10 *C, 73.00 %, ON, OFF
1033 s, 27.60 *C, 71.00 %, ON, OFF
1034 s, 27.60 *C, 71.00 %, ON, OFF
1035 s, 27.60 *C, 70.00 %, ON, OFF
1036 s, 27.60 *C, 70.00 %, ON, OFF
1037 s, 28.00 *C, 68.00 %, ON, OFF
1038 s, 28.00 *C, 68.00 %, ON, OFF
1039 s, 28.50 *C, 66.00 %, ON, OFF
1040 s, 28.50 *C, 66.00 %, ON, OFF
1041 s, 28.80 *C, 63.00 %, ON, OFF
1042 s, 28.80 *C, 63.00 %, ON, OFF
1043 s, 28.90 *C, 61.00 %, ON, OFF
1044 s, 28.90 *C, 61.00 %, ON, OFF
1045 s, 29.30 *C, 57.00 %, ON, OFF
