Temperatura inicial: 20.00 *C
Umidade inicial: 77.00 %
Tempo (s), Temperatura (*C), Umidade (%), LED Temp, LED Hum, Mensagem
1 s, 20.00 *C, 77.00 %, OFF, OFF
531 s, 30.80 *C, 36.00 %, ON, OFF
532 s, 30.80 *C, 36.00 %, ON, OFF
533 s, 30.80 *C, 36.00 %, ON, OFF
534 s, 30.80 *C, 36.00 %, ON, OFF
535 s, 30.80 *C, 36.00 %, ON, OFF
536 s, 30.20 *C, 37.00 %, ON, OFF
537 s, 30.20 *C, 37.00 %, ON, OFF
538 s, 30.20 *C, 37.00 %, ON, OFF
539 s, 30.20 *C, 37.00 %, ON, OFF
540 s, 29.80 *C, 38.00 %, ON, OFF
541 s, 29.80 *C, 38.00 %, ON, OFF
542 s, 29.80 *C, 38.00 %, ON, OFF
543 s, 29.80 *C, 38.00 %, ON, OFF
544 s, 29.80 *C, 38.00 %, ON, OFF
545 s, 29.80 *C, 38.00 %, ON, OFF
546 s, 29.30 *C, 38.00 %, ON, OFF
547 s, 29.30 *C, 38.00 %, ON, OFF
548 s, 29.30 *C, 39.00 %, ON, OFF
549 s, 29.30 *C, 39.00 %, ON, OFF
550 s, 29.30 *C, 39.00 %, ON, OFF
551 s, 29.30 *C, 39.00 %, ON, OFF
552 s, 28.90 *C, 39.00 %, ON, OFF
553 s, 28.90 *C, 39.00 %, ON, OFF
555 s, 28.90 *C, 40.00 %, ON, OFF
556 s, 28.90 *C, 40.00 %, ON, OFF
557 s, 28.70 *C, 40.00 %, ON, OFF
558 s, 28.70 *C, 40.00 %, ON, OFF
559 s, 28.50 *C, 40.00 %, ON, OFF
560 s, 28.50 *C, 40.00 %, ON, OFF
561 s, 28.50 *C, 41.00 %, ON, OFF
562 s, 28.50 *C, 41.00 %, ON, OFF
563 s, 28.10 *C, 41.00 %, ON, OFF
564 s, 28.10 *C, 41.00 %, ON, OFF
565 s, 28.00 *C, 41.00 %, ON, OFF
566 s, 28.00 *C, 41.00 %, ON, OFF
567 s, 28.00 *C, 41.00 %, ON, OFF
568 s, 28.00 *C, 41.00 %, ON, OFF
569 s, 28.00 *C, 42.00 %, ON, OFF
570 s, 28.00 *C, 42.00 %, ON, OFF
571 s, 27.60 *C, 43.00 %, ON, OFF
572 s, 27.60 *C, 43.00 %, ON, OFF
573 s, 27.60 *C, 43.00 %, ON, OFF
574 s, 27.60 *C, 43.00 %, ON, OFF
575 s, 27.60 *C, 43.00 %, ON, OFF
576 s, 27.60 *C, 43.00 %, ON, OFF
577 s, 27.10 *C, 44.00 %, ON, OFF
578 s, 27.10 *C, 44.00 %, ON, OFF
579 s, 27.10 *C, 44.00 %, ON, OFF
580 s, 27.10 *C, 44.00 %, ON, OFF
581 s, 27.10 *C, 44.00 %, ON, OFF
582 s, 27.10 *C, 44.00 %, ON, OFF
583 s, 27.10 *C, 44.00 %, ON, OFF
584 s, 27.10 *C, 44.00 %, ON, OFF
585 s, 26.70 *C, 44.00 %, ON, OFF
586 s, 26.70 *C, 44.00 %, ON, OFF
587 s, 26.70 *C, 45.00 %, ON, OFF
588 s, 26.70 *C, 45.00 %, ON, OFF
589 s, 26.70 *C, 45.00 %, ON, OFF
590 s, 26.70 *C, 45.00 %, ON, OFF
591 s, 26.20 *C, 45.00 %, ON, OFF
592 s, 26.20 *C, 45.00 %, ON, OFF
593 s, 26.20 *C, 46.00 %, ON, OFF
594 s, 26.20 *C, 46.00 %, ON, OFF
595 s, 26.20 *C, 46.00 %, ON, OFF
596 s, 26.20 *C, 46.00 %, ON, OFF
597 s, 26.20 *C, 46.00 %, ON, OFF
598 s, 26.20 *C, 46.00 %, ON, OFF
599 s, 25.80 *C, 47.00 %, ON, OFF
600 s, 25.80 *C, 47.00 %, ON, OFF
601 s, 25.80 *C, 47.00 %, ON, OFF
602 s, 25.80 *C, 47.00 %, ON, OFF
603 s, 25.80 *C, 47.00 %, ON, OFF
604 s, 25.80 *C, 47.00 %, ON, OFF
605 s, 25.80 *C, 47.00 %, ON, OFF
606 s, 25.80 *C, 47.00 %, ON, OFF
607 s, 25.80 *C, 48.00 %, ON, OFF
608 s, 25.80 *C, 48.00 %, ON, OFF
609 s, 25.30 *C, 48.00 %, ON, OFF
610 s, 25.30 *C, 48.00 %, ON, OFF
611 s, 25.30 *C, 48.00 %, ON, OFF
612 s, 25.30 *C, 48.00 %, ON, OFF
613 s, 25.30 *C, 48.00 %, ON, OFF
614 s, 25.30 *C, 48.00 %, ON, OFF
615 s, 25.30 *C, 49.00 %, ON, OFF
616 s, 25.30 *C, 49.00 %, ON, OFF
617 s, 25.30 *C, 49.00 %, ON, OFF
618 s, 25.30 *C, 49.00 %, ON, OFF
619 s, 24.80 *C, 49.00 %, OFF, OFF | LED de temperatura apagou
620 s, 24.80 *C, 49.00 %, OFF, OFF
621 s, 24.80 *C, 49.00 %, OFF, OFF
622 s, 24.80 *C, 49.00 %, OFF, OFF
623 s, 24.80 *C, 49.00 %, OFF, OFF
624 s, 24.80 *C, 49.00 %, OFF, OFF
625 s, 24.80 *C, 50.00 %, OFF, OFF
626 s, 24.80 *C, 50.00 %, OFF, OFF
627 s, 24.80 *C, 50.00 %, OFF, OFF
628 s, 24.80 *C, 50.00 %, OFF, OFF
629 s, 24.50 *C, 50.00 %, OFF, OFF
630 s, 24.50 *C, 50.00 %, OFF, OFF
631 s, 24.50 *C, 51.00 %, OFF, OFF
632 s, 24.50 *C, 51.00 %, OFF, OFF
634 s, 24.50 *C, 51.00 %, OFF, OFF
635 s, 24.50 *C, 51.00 %, OFF, OFF
636 s, 24.50 *C, 51.00 %, OFF, OFF
637 s, 24.50 *C, 51.00 %, OFF, OFF
638 s, 24.50 *C, 52.00 %, OFF, OFF
639 s, 24.50 *C, 52.00 %, OFF, OFF
640 s, 24.20 *C, 52.00 %, OFF, OFF
641 s, 24.20 *C, 52.00 %, OFF, OFF
642 s, 24.10 *C, 52.00 %, OFF, OFF
643 s, 24.10 *C, 52.00 %, OFF, OFF
644 s, 24.10 *C, 53.00 %, OFF, OFF
645 s, 24.10 *C, 53.00 %, OFF, OFF
646 s, 24.10 *C, 53.00 %, OFF, OFF
647 s, 24.10 *C, 53.00 %, OFF, OFF
648 s, 24.10 *C, 53.00 %, OFF, OFF
649 s, 24.10 *C, 53.00 %, OFF, OFF
650 s, 24.10 *C, 53.00 %, OFF, OFF
651 s, 24.10 *C, 53.00 %, OFF, OFF
652 s, 24.10 *C, 53.00 %, OFF, OFF
653 s, 24.10 *C, 53.00 %, OFF, OFF
654 s, 23.80 *C, 54.00 %, OFF, OFF
655 s, 23.80 *C, 54.00 %, OFF, OFF
656 s, 23.80 *C, 54.00 %, OFF, OFF
657 s, 23.80 *C, 54.00 %, OFF, OFF
658 s, 23.80 *C, 54.00 %, OFF, OFF
659 s, 23.80 *C, 54.00 %, OFF, OFF
660 s, 23.80 *C, 54.00 %, OFF, OFF
661 s, 23.80 *C, 54.00 %, OFF, OFF
662 s, 23.80 *C, 55.00 %, OFF, OFF
663 s, 23.80 *C, 55.00 %, OFF, OFF
664 s, 23.80 *C, 55.00 %, OFF, OFF
665 s, 23.80 *C, 55.00 %, OFF, OFF
666 s, 23.80 *C, 55.00 %, OFF, OFF
667 s, 23.80 *C, 55.00 %, OFF, OFF
668 s, 23.40 *C, 55.00 %, OFF, OFF
669 s, 23.40 *C, 55.00 %, OFF, OFF
670 s, 23.40 *C, 56.00 %, OFF, OFF
671 s, 23.40 *C, 56.00 %, OFF, OFF
672 s, 23.40 *C, 56.00 %, OFF, OFF
673 s, 23.40 *C, 56.00 %, OFF, OFF
674 s, 23.40 *C, 56.00 %, OFF, OFF
675 s, 23.40 *C, 56.00 %, OFF, OFF
676 s, 23.40 *C, 56.00 %, OFF, OFF
677 s, 23.40 *C, 56.00 %, OFF, OFF
678 s, 23.40 *C, 57.00 %, OFF, OFF
679 s, 23.40 *C, 57.00 %, OFF, OFF
680 s, 23.40 *C, 57.00 %, OFF, OFF
681 s, 23.40 *C, 57.00 %, OFF, OFF
682 s, 23.40 *C, 57.00 %, OFF, OFF
683 s, 23.40 *C, 57.00 %, OFF, OFF
684 s, 23.00 *C, 57.00 %, OFF, OFF
685 s, 23.00 *C, 57.00 %, OFF, OFF
686 s, 23.00 *C, 58.00 %, OFF, OFF
687 s, 23.00 *C, 58.00 %, OFF, OFF
688 s, 23.00 *C, 58.00 %, OFF, OFF
689 s, 23.00 *C, 58.00 %, OFF, OFF
690 s, 23.00 *C, 58.00 %, OFF, OFF
691 s, 23.00 *C, 58.00 %, OFF, OFF
692 s, 23.00 *C, 58.00 %, OFF, OFF
693 s, 23.00 *C, 58.00 %, OFF, OFF
694 s, 23.00 *C, 58.00 %, OFF, OFF
695 s, 23.00 *C, 58.00 %, OFF, OFF
696 s, 23.00 *C, 59.00 %, OFF, OFF
697 s, 23.00 *C, 59.00 %, OFF, OFF
698 s, 23.00 *C, 59.00 %, OFF, OFF
699 s, 23.00 *C, 59.00 %, OFF, OFF
700 s, 23.00 *C, 59.00 %, OFF, OFF
701 s, 23.00 *C, 59.00 %, OFF, OFF
702 s, 23.00 *C, 59.00 %, OFF, OFF
703 s, 23.00 *C, 59.00 %, OFF, OFF
704 s, 22.70 *C, 59.00 %, OFF, OFF
705 s, 22.70 *C, 59.00 %, OFF, OFF
706 s, 22.70 *C, 59.00 %, OFF, OFF
707 s, 22.70 *C, 59.00 %, OFF, OFF
708 s, 22.60 *C, 60.00 %, OFF, OFF
709 s, 22.60 *C, 60.00 %, OFF, OFF
710 s, 22.60 *C, 60.00 %, OFF, OFF
711 s, 22.60 *C, 60.00 %, OFF, OFF
713 s, 22.60 *C, 60.00 %, OFF, OFF
714 s, 22.60 *C, 60.00 %, OFF, OFF
715 s, 22.60 *C, 60.00 %, OFF, OFF
716 s, 22.60 *C, 60.00 %, OFF, OFF
717 s, 22.60 *C, 60.00 %, OFF, OFF
718 s, 22.60 *C, 60.00 %, OFF, OFF
719 s, 22.60 *C, 61.00 %, OFF, OFF
720 s, 22.60 *C, 61.00 %, OFF, OFF
721 s, 22.60 *C, 61.00 %, OFF, OFF
722 s, 22.60 *C, 61.00 %, OFF, OFF
723 s, 22.60 *C, 61.00 %, OFF, OFF
724 s, 22.60 *C, 61.00 %, OFF, OFF
725 s, 22.60 *C, 61.00 %, OFF, OFF
726 s, 22.60 *C, 61.00 %, OFF, OFF
727 s, 22.50 *C, 61.00 %, OFF, OFF
728 s, 22.50 *C, 61.00 %, OFF, OFF
729 s, 22.30 *C, 62.00 %, OFF, OFF
730 s, 22.30 *C, 62.00 %, OFF, OFF
731 s, 22.20 *C, 62.00 %, OFF, OFF
732 s, 22.20 *C, 62.00 %, OFF, OFF
733 s, 22.20 *C, 62.00 %, OFF, OFF
734 s, 22.20 *C, 62.00 %, OFF, OFF
735 s, 22.20 *C, 62.00 %, OFF, OFF
736 s, 22.20 *C, 62.00 %, OFF, OFF
737 s, 22.20 *C, 62.00 %, OFF, OFF
738 s, 22.20 *C, 62.00 %, OFF, OFF
739 s, 22.20 *C, 63.00 %, OFF, OFF
740 s, 22.20 *C, 63.00 %, OFF, OFF
741 s, 22.20 *C, 63.00 %, OFF, OFF
742 s, 22.20 *C, 63.00 %, OFF, OFF
743 s, 22.20 *C, 63.00 %, OFF, OFF
744 s, 22.20 *C, 63.00 %, OFF, OFF
745 s, 22.20 *C, 63.00 %, OFF, OFF
746 s, 22.20 *C, 63.00 %, OFF, OFF
747 s, 22.20 *C, 63.00 %, OFF, OFF
748 s, 22.20 *C, 63.00 %, OFF, OFF
749 s, 22.20 *C, 63.00 %, OFF, OFF
750 s, 22.20 *C, 63.00 %, OFF, OFF
751 s, 22.20 *C, 63.00 %, OFF, OFF
752 s, 22.20 *C, 63.00 %, OFF, OFF
753 s, 22.20 *C, 64.00 %, OFF, OFF
754 s, 22.20 *C, 64.00 %, OFF, OFF
755 s, 22.20 *C, 64.00 %, OFF, OFF
756 s, 22.20 *C, 64.00 %, OFF, OFF
757 s, 22.00 *C, 64.00 %, OFF, OFF
758 s, 22.00 *C, 64.00 %, OFF, OFF
759 s, 21.90 *C, 64.00 %, OFF, OFF
760 s, 21.90 *C, 64.00 %, OFF, OFF
761 s, 21.90 *C, 64.00 %, OFF, OFF
762 s, 21.90 *C, 64.00 %, OFF, OFF
763 s, 21.80 *C, 64.00 %, OFF, OFF
764 s, 21.80 *C, 64.00 %, OFF, OFF
765 s, 21.80 *C, 64.00 %, OFF, OFF
766 s, 21.80 *C, 64.00 %, OFF, OFF
767 s, 21.80 *C, 64.00 %, OFF, OFF
768 s, 21.80 *C, 64.00 %, OFF, OFF
769 s, 21.80 *C, 64.00 %, OFF, OFF
770 s, 21.80 *C, 64.00 %, OFF, OFF
771 s, 21.80 *C, 65.00 %, OFF, OFF
772 s, 21.80 *C, 65.00 %, OFF, OFF
773 s, 21.80 *C, 65.00 %, OFF, OFF
774 s, 21.80 *C, 65.00 %, OFF, OFF
775 s, 21.80 *C, 65.00 %, OFF, OFF
776 s, 21.80 *C, 65.00 %, OFF, OFF
777 s, 21.80 *C, 65.00 %, OFF, OFF
778 s, 21.80 *C, 65.00 %, OFF, OFF
779 s, 21.80 *C, 65.00 %, OFF, OFF
780 s, 21.80 *C, 65.00 %, OFF, OFF
781 s, 21.80 *C, 66.00 %, OFF, OFF
782 s, 21.80 *C, 66.00 %, OFF, OFF
783 s, 21.80 *C, 66.00 %, OFF, OFF
784 s, 21.80 *C, 66.00 %, OFF, OFF
785 s, 21.80 *C, 66.00 %, OFF, OFF
786 s, 21.80 *C, 66.00 %, OFF, OFF
787 s, 21.80 *C, 66.00 %, OFF, OFF
788 s, 21.80 *C, 66.00 %, OFF, OFF
789 s, 21.80 *C, 66.00 %, OFF, OFF
790 s, 21.80 *C, 66.00 %, OFF, OFF
792 s, 21.80 *C, 66.00 %, OFF, OFF
793 s, 21.80 *C, 66.00 %, OFF, OFF
794 s, 21.70 *C, 67.00 %, OFF, OFF
795 s, 21.70 *C, 67.00 %, OFF, OFF
796 s, 21.50 *C, 67.00 %, OFF, OFF
797 s, 21.50 *C, 67.00 %, OFF, OFF
798 s, 21.50 *C, 67.00 %, OFF, OFF
799 s, 21.50 *C, 67.00 %, OFF, OFF
800 s, 21.50 *C, 67.00 %, OFF, OFF
801 s, 21.50 *C, 67.00 %, OFF, OFF
802 s, 21.40 *C, 67.00 %, OFF, OFF
803 s, 21.40 *C, 67.00 %, OFF, OFF
804 s, 21.40 *C, 67.00 %, OFF, OFF
805 s, 21.40 *C, 67.00 %, OFF, OFF
806 s, 21.40 *C, 67.00 %, OFF, OFF
807 s, 21.40 *C, 67.00 %, OFF, OFF
808 s, 21.40 *C, 68.00 %, OFF, OFF
809 s, 21.40 *C, 68.00 %, OFF, OFF
810 s, 21.40 *C, 68.00 %, OFF, OFF
811 s, 21.40 *C, 68.00 %, OFF, OFF
812 s, 21.40 *C, 68.00 %, OFF, OFF
813 s, 21.40 *C, 68.00 %, OFF, OFF
814 s, 21.40 *C, 68.00 %, OFF, OFF
815 s, 21.40 *C, 68.00 %, OFF, OFF
816 s, 21.40 *C, 68.00 %, OFF, OFF
817 s, 21.40 *C, 68.00 %, OFF, OFF
818 s, 21.40 *C, 68.00 %, OFF, OFF
819 s, 21.40 *C, 68.00 %, OFF, OFF
820 s, 21.40 *C, 69.00 %, OFF, OFF
821 s, 21.40 *C, 69.00 %, OFF, OFF
822 s, 21.40 *C, 69.00 %, OFF, OFF
823 s, 21.40 *C, 69.00 %, OFF, OFF
824 s, 21.40 *C, 69.00 %, OFF, OFF
825 s, 21.40 *C, 69.00 %, OFF, OFF
826 s, 21.40 *C, 69.00 %, OFF, OFF
827 s, 21.40 *C, 69.00 %, OFF, OFF
828 s, 21.40 *C, 69.00 %, OFF, OFF
829 s, 21.40 *C, 69.00 %, OFF, OFF
830 s, 21.40 *C, 69.00 %, OFF, OFF
831 s, 21.40 *C, 69.00 %, OFF, OFF
832 s, 21.40 *C, 69.00 %, OFF, OFF
833 s, 21.40 *C, 69.00 %, OFF, OFF
834 s, 21.40 *C, 69.00 %, OFF, OFF
835 s, 21.40 *C, 69.00 %, OFF, OFF
836 s, 21.40 *C, 69.00 %, OFF, OFF
837 s, 21.40 *C, 69.00 %, OFF, OFF
838 s, 21.40 *C, 69.00 %, OFF, OFF
839 s, 21.40 *C, 69.00 %, OFF, OFF
840 s, 21.40 *C, 69.00 %, OFF, OFF
841 s, 21.40 *C, 69.00 %, OFF, OFF
842 s, 21.40 *C, 70.00 %, OFF, OFF
843 s, 21.40 *C, 70.00 %, OFF, OFF
844 s, 21.30 *C, 71.00 %, OFF, OFF
845 s, 21.30 *C, 71.00 %, OFF, OFF
846 s, 21.20 *C, 71.00 %, OFF, OFF
847 s, 21.20 *C, 71.00 %, OFF, OFF
848 s, 21.10 *C, 71.00 %, OFF, OFF
849 s, 21.10 *C, 71.00 %, OFF, OFF
850 s, 21.10 *C, 71.00 %, OFF, OFF
851 s, 21.10 *C, 71.00 %, OFF, OFF
852 s, 21.10 *C, 71.00 %, OFF, OFF
853 s, 21.10 *C, 71.00 %, OFF, OFF
854 s, 21.10 *C, 71.00 %, OFF, OFF
855 s, 21.10 *C, 71.00 %, OFF, OFF
856 s, 21.10 *C, 71.00 %, OFF, OFF
857 s, 21.10 *C, 71.00 %, OFF, OFF
858 s, 21.10 *C, 71.00 %, OFF, OFF
859 s, 21.10 *C, 71.00 %, OFF, OFF
860 s, 21.00 *C, 71.00 %, OFF, OFF
861 s, 21.00 *C, 71.00 %, OFF, OFF
862 s, 21.00 *C, 71.00 %, OFF, OFF
863 s, 21.00 *C, 71.00 %, OFF, OFF
864 s, 21.00 *C, 71.00 %, OFF, OFF
865 s, 21.00 *C, 71.00 %, OFF, OFF
866 s, 21.00 *C, 71.00 %, OFF, OFF
867 s, 21.00 *C, 71.00 %, OFF, OFF
868 s, 21.00 *C, 71.00 %, OFF, OFF
869 s, 21.00 *C, 71.00 %, OFF, OFF
871 s, 21.00 *C, 72.00 %, OFF, OFF
872 s, 21.00 *C, 72.00 %, OFF, OFF
873 s, 21.00 *C, 72.00 %, OFF, OFF
874 s, 21.00 *C, 72.00 %, OFF, OFF
875 s, 21.00 *C, 72.00 %, OFF, OFF
876 s, 21.00 *C, 72.00 %, OFF, OFF
877 s, 21.00 *C, 72.00 %, OFF, OFF
878 s, 21.00 *C, 72.00 %, OFF, OFF
879 s, 21.00 *C, 72.00 %, OFF, OFF
880 s, 21.00 *C, 72.00 %, OFF, OFF
881 s, 21.00 *C, 72.00 %, OFF, OFF
882 s, 21.00 *C, 72.00 %, OFF, OFF
883 s, 21.00 *C, 72.00 %, OFF, OFF
884 s, 21.00 *C, 72.00 %, OFF, OFF
885 s, 21.00 *C, 73.00 %, OFF, OFF
886 s, 21.00 *C, 73.00 %, OFF, OFF
887 s, 21.00 *C, 73.00 %, OFF, OFF
888 s, 21.00 *C, 73.00 %, OFF, OFF
889 s, 21.00 *C, 73.00 %, OFF, OFF
890 s, 21.00 *C, 73.00 %, OFF, OFF
891 s, 21.00 *C, 73.00 %, OFF, OFF
892 s, 21.00 *C, 73.00 %, OFF, OFF
893 s, 21.00 *C, 73.00 %, OFF, OFF
894 s, 21.00 *C, 73.00 %, OFF, OFF
895 s, 21.00 *C, 75.00 %, OFF, OFF
896 s, 21.00 *C, 75.00 %, OFF, OFF
897 s, 21.00 *C, 77.00 %, OFF, OFF
898 s, 21.00 *C, 77.00 %, OFF, OFF
899 s, 21.00 *C, 77.00 %, OFF, OFF
900 s, 21.00 *C, 77.00 %, OFF, OFF
901 s, 21.00 *C, 77.00 %, OFF, OFF
902 s, 21.00 *C, 77.00 %, OFF, OFF
903 s, 21.00 *C, 77.00 %, OFF, OFF
904 s, 21.00 *C, 77.00 %, OFF, OFF
905 s, 21.00 *C, 77.00 %, OFF, OFF
906 s, 21.00 *C, 77.00 %, OFF, OFF
907 s, 21.00 *C, 77.00 %, OFF, OFF
908 s, 21.00 *C, 77.00 %, OFF, OFF
909 s, 21.00 *C, 77.00 %, OFF, OFF
910 s, 21.00 *C, 77.00 %, OFF, OFF
911 s, 21.00 *C, 77.00 %, OFF, OFF
912 s, 21.00 *C, 77.00 %, OFF, OFF
913 s, 21.00 *C, 77.00 %, OFF, OFF
914 s, 21.00 *C, 77.00 %, OFF, OFF
915 s, 21.00 *C, 79.00 %, OFF, OFF
916 s, 21.00 *C, 79.00 %, OFF, OFF
917 s, 21.00 *C, 81.00 %, OFF, ON | LED de umidade acendeu
918 s, 21.00 *C, 81.00 %, OFF, ON
919 s, 21.00 *C, 81.00 %, OFF, ON
920 s, 21.00 *C, 81.00 %, OFF, ON
921 s, 21.00 *C, 81.00 %, OFF, ON
922 s, 21.00 *C, 81.00 %, OFF, ON
923 s, 21.00 *C, 81.00 %, OFF, ON
924 s, 21.00 *C, 81.00 %, OFF, ON
925 s, 21.00 *C, 81.00 %, OFF, ON
926 s, 21.00 *C, 81.00 %, OFF, ON
927 s, 21.00 *C, 81.00 %, OFF, ON
928 s, 21.00 *C, 81.00 %, OFF, ON
929 s, 21.00 *C, 81.00 %, OFF, ON
930 s, 21.00 *C, 81.00 %, OFF, ON
931 s, 21.00 *C, 81.00 %, OFF, ON
932 s, 21.00 *C, 81.00 %, OFF, ON
933 s, 21.00 *C, 81.00 %, OFF, ON
934 s, 21.00 *C, 81.00 %, OFF, ON
935 s, 21.00 *C, 80.00 %, OFF, OFF | LED de umidade apagou
936 s, 21.00 *C, 80.00 %, OFF, OFF
937 s, 21.00 *C, 80.00 %, OFF, OFF
938 s, 21.00 *C, 80.00 %, OFF, OFF
939 s, 21.00 *C, 80.00 %, OFF, OFF
940 s, 21.00 *C, 80.00 %, OFF, OFF
941 s, 21.00 *C, 80.00 %, OFF, OFF
942 s, 21.00 *C, 80.00 %, OFF, OFF
943 s, 21.00 *C, 79.00 %, OFF, OFF
944 s, 21.00 *C, 79.00 %, OFF, OFF
945 s, 21.00 *C, 79.00 %, OFF, OFF


